2015-05-17 21:01:12,198 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,201 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:12,212 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,213 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:12,334 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,338 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:12,351 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,352 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:12,474 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,477 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:12,486 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,487 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:12,587 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,590 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:12,597 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,598 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:12,696 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,699 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:12,709 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:12,709 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:13,071 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:13,074 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:13,080 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:13,080 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:13,229 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:13,232 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:13,242 [Worker-373] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:13,243 [Worker-373] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,154 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,182 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,191 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,192 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,233 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,236 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,244 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,244 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,283 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,286 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,294 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,295 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,330 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,333 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,342 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,342 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,383 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,386 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,393 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,394 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,431 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,435 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2015-05-17 21:01:15,443 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,443 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jteissler/Desktop/eclipseworkspace/skeleton/src/test/resources
2015-05-17 21:01:15,475 [Worker-372] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-17 21:01:15,478 [Worker-372] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
